zip5,census_pop,pop_65plus,pct_65plus,median_income,unemployment_rate
00601,16834,3511,0.20856599738624212,17526,0.2241663915483658
00602,37642,8099,0.21515859943679932,20260,0.07683467410934165
00603,49075,11411,0.23252165053489557,17703,0.16075855230540406
00606,5590,1387,0.2481216457960644,19603,0.05728088336783989
00610,25542,5547,0.21717171717171718,22796,0.08289666736533222
00611,1315,336,0.2555133079847909,22525,0.21061946902654868
00612,63312,15016,0.23717462724286076,22305,0.17958420513733694
00616,9625,2171,0.22555844155844157,23652,0.15892617449664428
00617,22573,4635,0.20533380587427458,20328,0.1575617471711887
00622,7577,2387,0.3150323346971097,22818,0.15005476451259583
00623,39406,8910,0.22610769933512664,23132,0.1449653911453572
00624,21648,3875,0.17900036954915002,20101,0.11568233944954129
00627,32733,7114,0.21733418873919286,23263,0.05352185981956974
00631,1431,447,0.31236897274633124,15658,0.17715617715617715
00636,1057,83,0.07852412488174078,-666666666,0.0
00637,22882,5632,0.2461323310899397,20568,0.10657658899765614
00638,17605,4193,0.23817097415506958,19796,0.17959576515880654
00641,24299,5783,0.23799333305897363,17673,0.2869759920388108
00646,35926,6719,0.1870233257251016,31330,0.1410300488207385
00647,4702,1385,0.29455550829434285,17143,0.31763766959297685
00650,13767,2831,0.20563666739304132,20363,0.2754831375521031
00652,3924,825,0.21024464831804282,26148,0.10442260442260443
00653,8980,2084,0.23207126948775056,13777,0.3107235142118863
00656,18121,4123,0.2275260747199382,21456,0.1953125
00659,37066,8037,0.2168294393784061,23899,0.061968761351253177
00660,15483,4486,0.2897371310469547,22556,0.16505662891405729
00662,40480,8713,0.21524209486166007,20283,0.07057435090479937
00664,14967,2846,0.19015166700073496,17966,0.19599109131403117
00667,23370,6041,0.2584937954642704,16889,0.19840609016295943
00669,27529,6006,0.21816992989211378,18838,0.1136755823986195
00670,8746,1951,0.22307340498513606,16644,0.08110300081103
00674,39385,9266,0.23526723371842073,20088,0.17765554151490373
00676,36683,7235,0.1972303246735545,20160,0.2135048231511254
00677,15304,3997,0.26117354939884996,26404,0.061136932427601
00678,25039,5545,0.22145453093174647,19558,0.05812167749556999
00680,43173,11958,0.27697866722256964,16535,0.22745579903065055
00682,30414,6696,0.22016176760702308,17385,0.24981604120676967
00683,29547,7938,0.26865671641791045,18132,0.06894362620619604
00685,40346,9697,0.2403460070391117,17481,0.15136132902630364
00687,28659,5120,0.17865243030112704,22282,0.15861746847267633
00688,11478,2371,0.20656908869140966,17273,0.17727389847977326
00690,5781,1195,0.20671164158450095,23343,0.09340369393139841
00692,33302,6538,0.19632454507236802,25289,0.20933449832532403
00693,55570,11928,0.21464819147021774,23791,0.16646763792691666
00694,98,69,0.7040816326530612,-666666666,0.0
00698,33506,7925,0.23652480152808453,19818,0.13843941028407047
00703,24475,5274,0.21548518896833505,23045,0.058170515097690945
00704,6831,1054,0.15429658907919777,19845,0.041379310344827586
00705,24401,5627,0.23060530306134994,22679,0.06472491909385113
00707,10487,2540,0.24220463430914466,21765,0.23738019169329075
00714,15797,3370,0.21333164524909792,18496,0.1115948670944088
00715,2040,554,0.27156862745098037,16250,0.0
00716,27166,7367,0.2711845689464772,20184,0.120922451905843
00717,15029,4127,0.27460243529176925,14164,0.1688720856962823
00718,23289,4455,0.1912920262785006,20414,0.0997493072964771
00719,29523,6370,0.21576398062527521,20533,0.17575452716297787
00720,20816,3736,0.17947732513451192,16751,0.19340930089313213
00723,15978,3936,0.24633871573413443,20967,0.13003220611916264
00725,77244,18139,0.23482730050230438,25786,0.11948234992632456
00727,53258,10168,0.1909196740395809,33678,0.06014417231196804
00728,38590,7528,0.19507644467478621,21239,0.08615795625313075
00729,47826,9011,0.1884121607493832,26978,0.16180509517946776
00730,32267,8343,0.258561378498156,17517,0.17374080362195812
00731,10473,2678,0.2557051465673637,16944,0.08508403361344538
00735,11164,2834,0.25385166606950915,23125,0.11223996129656506
00736,45867,10314,0.22486755183465237,27158,0.0634014423076923
00738,30093,7000,0.23261223540358222,24643,0.22761136116715816
00739,34678,6629,0.19115865966895437,24887,0.06263206829515679
00740,2034,337,0.16568338249754178,18784,0.18474374255065554
00741,3627,859,0.23683484973807553,23821,0.10423452768729642
00745,47494,10084,0.2123215564071251,26189,0.1745749215419926
00751,19570,4552,0.23260091977516606,20241,0.06535737282678686
00754,36576,7448,0.20363079615048119,19528,0.08481073310972688
00757,20048,3449,0.17203711093375898,22764,0.08578616352201258
00765,8199,1942,0.23685815343334554,17062,0.13143574717455003
00766,22053,4395,0.19929261324989797,22511,0.1389209278482635
00767,30779,7056,0.22924721400955198,20126,0.1083291770573566
00769,34374,6791,0.19756211089777156,20236,0.07386943216592995
00771,34964,7308,0.20901498684361058,23343,0.10379473553101387
00772,17316,3546,0.2047817047817048,17209,0.2836624775583483
00773,17716,4092,0.23097764732445247,22585,0.22383960450425708
00775,1186,260,0.21922428330522767,25483,0.03204047217537943
00777,37726,6536,0.17324921804590998,26052,0.1425708004655373
00778,40476,6861,0.16950785650756003,39484,0.14644925327644012
00780,13908,2455,0.17651711245326432,26075,0.11493178845075687
00782,18639,3512,0.18842212565051772,16221,0.1376878258203005
00783,34205,6624,0.19365589826048824,21701,0.15070760572705455
00784,35917,7033,0.1958125678647994,19199,0.06918680437180387
00786,154,41,0.2662337662337662,-666666666,0.0
00791,46537,11166,0.2399381137589445,26002,0.0765653654702646
00794,28335,5125,0.18087171342862185,21278,0.14826560951437068
00795,42900,8479,0.19764568764568766,22579,0.19597391195284083
00901,8220,2062,0.25085158150851583,27926,0.13320647002854424
00906,148,0,0.0,-666666666,0.0
00907,16607,4725,0.2845185765038839,40293,0.07686807293528782
00909,5260,1160,0.22053231939163498,25778,0.1391880695940348
00911,7087,1547,0.21828700437420628,38125,0.11283127787982157
00912,5955,1398,0.23476070528967255,27026,0.10922253698457665
00913,7068,964,0.13638936049801925,6449,0.355202674467196
00915,24713,5119,0.20713794359244123,12963,0.24423510941026397
00917,18544,5262,0.28375754961173427,17086,0.23063885267275097
00918,15976,4106,0.25701051577366046,35000,0.12390520350334878
00920,17293,3673,0.21239808014803677,28562,0.09025787965616046
00921,33555,7373,0.21972880345701087,21419,0.1796316657504123
00923,24760,5248,0.21195476575121164,18389,0.23332725947521865
00924,47080,10890,0.23130841121495327,21046,0.195342755117437
00925,5556,1335,0.24028077753779697,13016,0.12869970069837047
00926,93751,22965,0.24495738712120405,38432,0.10819740791586198
00927,13766,3854,0.2799651314833648,40213,0.0878182649794176
00934,128,0,0.0,-666666666,0.5483870967741935
00949,68031,14240,0.20931634107980185,31500,0.10468561753117775
00950,0,0,,-666666666,
00951,298,74,0.2483221476510067,21354,0.04504504504504504
00952,8168,2169,0.2655484818805093,19392,0.14683014354066987
00953,66079,10228,0.1547844247037637,32957,0.08821695760598504
00956,65841,16073,0.24411840646405736,27243,0.09117254528122021
00957,41009,9498,0.23160769587163793,28240,0.08277770788778463
00959,47721,10262,0.21504159594308586,31603,0.0885626792397803
00960,3405,90,0.02643171806167401,-666666666,0.5
00961,29271,7502,0.2562946260804209,34141,0.13867524721393815
00962,19614,4195,0.21387784235749974,18478,0.1634881350997234
00965,5148,1317,0.25582750582750585,15872,0.1534195933456562
00966,16451,4588,0.27888882134824633,51732,0.10377094972067039
00968,3554,1333,0.3750703432751829,55132,0.01096774193548387
00969,41784,9949,0.23810549492628758,55929,0.0779862792574657
00971,26430,5896,0.2230798335225123,31484,0.09174015047326269
00976,61638,13924,0.22589960738505468,35661,0.0769715153535578
00979,16890,5054,0.29923031379514503,34705,0.10559006211180125
00982,13876,3372,0.24300951282790428,24244,0.20057460944514274
00983,31816,7535,0.23683052552175007,30595,0.14298737727910238
00985,32265,8983,0.27841314117464744,33270,0.14840782938942448
00987,54109,9904,0.1830379419320261,36396,0.1124543706087844
01001,16045,3894,0.2426924275475226,73398,0.05613453339649455
01002,22992,3505,0.15244432846207376,74265,0.06265307734850281
01003,11989,4,0.0003336391692384686,-666666666,0.1839611178614824
01005,4837,759,0.15691544345668804,97409,0.03089080459770115
01007,15368,2940,0.19130661114003122,99500,0.020953258116509325
01008,1231,318,0.25832656376929325,93405,0.004622496147919877
01009,699,49,0.07010014306151645,68510,0.05785123966942149
01010,3699,779,0.21059745877264124,88438,0.03007518796992481
01011,1318,251,0.19044006069802732,80640,0.0219435736677116
01012,440,96,0.21818181818181817,73906,0.0
01013,22895,3649,0.15937977724393973,62000,0.0696700720147379
01020,30417,6226,0.20468816780090082,67617,0.05346839338376715
01022,2144,561,0.261660447761194,52207,0.06763285024154589
01026,1073,279,0.26001863932898417,83875,0.005681818181818182
01027,17711,4250,0.23996386426514596,69337,0.053979385825098286
01028,16273,3584,0.22024211884717015,100610,0.031896761626491354
01029,527,137,0.25996204933586337,93125,0.02422145328719723
01030,12561,2252,0.17928508876681792,87324,0.04689249720044793
01031,1697,240,0.14142604596346495,51250,0.00853658536585366
01032,484,119,0.24586776859504134,88077,0.0
01033,6096,1301,0.21341863517060367,102248,0.03159517081941947
01034,2065,416,0.20145278450363197,104583,0.05836236933797909
01035,5295,1285,0.24268177525967893,112450,0.036408624955814775
01036,4966,1386,0.2790978654853,110320,0.0694392870404753
01037,582,221,0.3797250859106529,78047,0.0
01038,2469,602,0.24382341028756582,103125,0.034646739130434784
01039,1728,420,0.24305555555555555,109167,0.05726872246696035
01040,38210,6500,0.17011253598534415,49007,0.06831587817503311
01050,2714,466,0.17170228445099484,84333,0.02890932982917214
01053,1885,660,0.35013262599469497,60875,0.11732605729877217
01054,1793,539,0.3006134969325153,105833,0.0650887573964497
01056,20883,4472,0.21414547718239715,76395,0.040372670807453416
01057,8215,1894,0.23055386488131466,85614,0.07702612190221031
01060,14724,2740,0.1860907362129856,79604,0.05798105798105798
01062,9491,2391,0.2519228743019703,87409,0.03379224030037547
01063,2089,8,0.003829583532790809,-666666666,0.10084033613445378
01066,134,63,0.4701492537313433,20202,0.0
01068,1585,312,0.1968454258675079,93906,0.03337453646477132
01069,8516,1959,0.23003757632691404,71439,0.03631795340338054
01070,571,194,0.3397548161120841,60313,0.017921146953405017
01071,1259,195,0.15488482922954727,105417,0.015804597701149427
01072,1413,361,0.25548478414720455,99000,0.08556832694763729
01073,6185,1390,0.22473726758286175,114531,0.01831927886013376
01074,694,104,0.14985590778097982,88190,0.24381625441696114
01075,17115,4167,0.2434706397896582,92740,0.038261435074788644
01077,9244,2022,0.21873647771527477,106779,0.03167774736018772
01079,640,39,0.0609375,-666666666,0.08571428571428572
01080,2674,220,0.08227374719521316,89335,0.06180144641683103
01081,1716,254,0.14801864801864803,88636,0.02485089463220676
01082,10533,1854,0.17601822842495016,66607,0.08106143220647037
01083,2539,212,0.08349743993698307,87511,0.11602209944751381
01084,99,36,0.36363636363636365,86538,0.0
01085,41592,7527,0.18097230236583958,78901,0.043509824799148195
01088,725,82,0.11310344827586206,51591,0.08267716535433071
01089,28755,4460,0.15510346026777952,67297,0.05805126928820309
01092,1428,196,0.13725490196078433,69048,0.1776536312849162
01093,145,57,0.3931034482758621,130781,0.03125
01094,44,14,0.3181818181818182,87188,0.0
01095,14673,3331,0.22701560689702174,126689,0.011535503716995642
01096,2516,620,0.246422893481717,106250,0.021437578814627996
01097,36,9,0.25,-666666666,0.0
01098,951,334,0.3512092534174553,91181,0.027573529411764705
01103,2245,283,0.12605790645879733,21288,0.05726495726495726
01104,22606,3017,0.13346014332478104,47413,0.10382260159584339
01105,12045,1339,0.11116645911166459,23948,0.13562169947191552
01106,16019,3657,0.22829140395780012,137597,0.06372155287817939
01107,12443,1164,0.09354657237000723,30825,0.1584936892199462
01108,26198,3037,0.11592487976181388,48465,0.08782838489040883
01109,31301,3604,0.11514009137088271,42928,0.10182516810758886
01118,15112,2158,0.14280042350449973,78354,0.052784442480111125
01119,14182,2387,0.16831194471865746,54326,0.030387647831800264
01128,3063,538,0.17564479268690825,77050,0.052564914502849905
01129,6486,1377,0.21230342275670674,80352,0.05298594847775176
01144,0,0,,-666666666,
01151,9467,1255,0.13256575472694623,51410,0.06684299110363068
01201,45188,9077,0.20087191289722936,67262,0.06893029337255864
01220,8149,2052,0.2518100380414775,54677,0.06357388316151202
01222,623,79,0.12680577849117175,78077,0.10755813953488372
01223,2565,631,0.24600389863547759,79226,0.028064992614475627
01224,124,0,0.0,-666666666,0.0
01225,3239,846,0.26119172584130906,72485,0.06136087484811665
01226,6332,1558,0.24605180037902716,76198,0.039540816326530615
01229,125,96,0.768,-666666666,0.0
01230,9095,2134,0.23463441451346895,73884,0.03036396541323145
01235,2461,585,0.23770824867939863,71641,0.037565740045078885
01236,1625,311,0.19138461538461538,113958,0.030798845043310877
01237,2451,662,0.270093839249286,86300,0.026232114467408585
01238,5928,1729,0.2916666666666667,77679,0.037336652146857496
01240,4922,1922,0.39049167005282404,82578,0.06464737793851717
01242,255,48,0.18823529411764706,-666666666,0.39444444444444443
01243,135,42,0.3111111111111111,79167,0.010309278350515464
01244,158,62,0.3924050632911392,56842,0.0
01245,828,400,0.4830917874396135,111354,0.08405797101449275
