zip5,total_shifts,filled,unfilled,cancelled,unmet,city,state,unmet_rate,fill_rate,lat,lng,population,density,county_name,state_name,timezone,census_pop,pop_65plus,pct_65plus,median_income,unemployment_rate,city_label,state_label,score_unmet,score_volume,score_elderly,score_poverty,score_density,demand_pressure_score
01013,136,67,0,69,69,Chicopee,MA,0.5073529411764706,0.4926470588235294,42.16059,-72.60788,22950.0,1565.6,Hampden,Massachusetts,America/New_York,22895.0,3649.0,0.1593797772439397,62000.0,0.0696700720147379,Chicopee,MA,0.5073529406691176,0.021807838179512703,0.24277617194363282,0.7994973399844321,0.024930571479527742,32.86307342799576
01020,53,36,0,17,17,Chicopee,MA,0.320754716981132,0.6792452830188679,42.17618,-72.56538,30230.0,936.7,Hampden,Massachusetts,America/New_York,30417.0,6226.0,0.2046881678009008,67617.0,0.0534683933837671,Chicopee,MA,0.32075471666037725,0.005372945638430666,0.3117924411752697,0.7756103576881008,0.014915985120639779,27.776129180805388
01056,125,89,0,36,36,Ludlow,MA,0.288,0.712,42.19211,-72.45805,20846.0,296.0,Hampden,Massachusetts,America/New_York,20883.0,4472.0,0.2141454771823971,76395.0,0.0403726708074534,Ludlow,MA,0.28799999971199997,0.01137800252844141,0.326198342653047,0.7382808347048011,0.004713495885245409,26.569764387056445
01073,47,29,0,18,18,South Hadley,MA,0.3829787234042553,0.6170212765957447,42.23084,-72.73856,6212.0,85.2,Hampshire,Massachusetts,America/New_York,6185.0,1390.0,0.2247372675828617,114531.0,0.0183192788601337,South Hadley,MA,0.38297872302127656,0.005689001264220705,0.34233234893615516,0.576102811408934,0.001356722464266584,27.13334309674359
01075,115,76,0,39,39,South Hadley,MA,0.3391304347826087,0.6608695652173913,42.25672,-72.57928,17410.0,379.3,Hampshire,Massachusetts,America/New_York,17115.0,4167.0,0.2434706397896582,92740.0,0.0382614350747886,South Hadley,MA,0.33913043444347823,0.012326169405811528,0.37086806702164543,0.6687717149551958,0.006039962801599945,27.991403961226485
01077,62,51,0,11,11,Southwick,MA,0.1774193548387097,0.8225806451612904,42.05441,-72.77851,9222.0,115.4,Hampden,Massachusetts,America/New_York,9244.0,2022.0,0.2187364777152747,106779.0,0.0316777473601877,Southwick,MA,0.17741935466129033,0.003476611883690431,0.33319161089596383,0.6090691433941858,0.001837626436342298,21.227741570126458
01085,46,43,0,3,3,Westfield,MA,0.0652173913043478,0.9347826086956522,42.15375,-72.76961,41466.0,268.1,Hampden,Massachusetts,America/New_York,41592.0,7527.0,0.1809723023658395,78901.0,0.0435098247991481,Westfield,MA,0.0652173912391304,0.0009481668773701175,0.27566711132340216,0.7276237619551827,0.004269217050115859,18.450616735405106
01089,177,132,0,45,45,West Springfield,MA,0.2542372881355932,0.7457627118644068,42.12532,-72.65025,28635.0,660.8,Hampden,Massachusetts,America/New_York,28755.0,4460.0,0.1551034602677795,67297.0,0.058051269288203,West Springfield,MA,0.2542372878813559,0.014222503160551762,0.23626224725731118,0.7769711969857377,0.010522561084358669,24.467719726230346
01095,450,284,0,166,166,Wilbraham,MA,0.3688888888888889,0.6311111111111111,42.12763,-72.42994,14615.0,250.9,Hampden,Massachusetts,America/New_York,14673.0,3331.0,0.2270156068970217,126689.0,0.0115355037169956,Wilbraham,MA,0.36888888851999996,0.0524652338811465,0.34580284253732174,0.5243994233443454,0.003995324721648896,27.200298950756768
01104,51,31,0,20,20,Springfield,MA,0.392156862745098,0.6078431372549019,42.13326,-72.56733,21745.0,1604.7,Hampden,Massachusetts,America/New_York,22606.0,3017.0,0.133460143324781,47413.0,0.1038226015958433,Springfield,MA,0.39215686235294106,0.006321112515800783,0.20329393894086986,0.8615303488426451,0.025553198807612528,29.167099683016453
01108,64,43,0,21,21,Longmeadow,MA,0.328125,0.671875,42.0814,-72.55866,27409.0,3075.4,Hampden,Massachusetts,America/New_York,26198.0,3037.0,0.1159248797618138,48465.0,0.0878283848904088,Longmeadow,MA,0.328124999671875,0.006637168141590823,0.17658324681006052,0.8570565896516641,0.04897258528879639,26.88691882756015
01109,250,195,0,55,55,Springfield,MA,0.22,0.78,42.11839,-72.54876,31418.0,2229.4,Hampden,Massachusetts,America/New_York,31301.0,3604.0,0.1151400913708827,42928.0,0.1018251681075888,Springfield,MA,0.21999999977999998,0.017383059418452154,0.17538781333267245,0.880603362123586,0.03550090448164228,24.106392222184965
01118,97,91,0,6,6,Springfield,MA,0.0618556701030927,0.9381443298969072,42.09476,-72.5253,15009.0,1611.6,Hampden,Massachusetts,America/New_York,15112.0,2158.0,0.1428004235044997,78354.0,0.0527844424801111,Springfield,MA,0.06185567004123703,0.001896333754740235,0.21752157500690855,0.7299499466295807,0.025663074218451015,17.459389886872007
01119,277,229,2,46,48,Springfield,MA,0.1732851985559566,0.8267148014440433,42.12452,-72.51126,14059.0,1537.5,Hampden,Massachusetts,America/New_York,14182.0,2387.0,0.1683119447186574,54326.0,0.0303876478318002,Springfield,MA,0.17328519838267137,0.01517067003792188,0.25638214795997744,0.8321319673908848,0.024483107849881138,23.43227625098982
01129,119,90,1,28,29,Springfield,MA,0.2436974789915966,0.7563025210084033,42.1211,-72.4877,5993.0,673.4,Hampden,Massachusetts,America/New_York,6486.0,1377.0,0.2123034227567067,80352.0,0.0529859484777517,Springfield,MA,0.2436974787478991,0.009165613147911136,0.32339242254376943,0.7214532062649609,0.010723203138933305,24.93694326737389
01373,66,58,0,8,8,South Deerfield,MA,0.1212121212121212,0.8787878787878788,42.47292,-72.61516,4784.0,80.1,Franklin,Massachusetts,America/New_York,4921.0,1129.0,0.2294249136354399,96546.0,0.0436534586971121,South Deerfield,MA,0.12121212109090906,0.0025284450063203135,0.3494728330286243,0.652586232558928,0.0012755102040816124,20.4905800088825
01453,53,51,0,2,2,Leominster,MA,0.0377358490566037,0.9622641509433962,42.51961,-71.76583,43635.0,639.2,Worcester,Massachusetts,America/New_York,43550.0,8116.0,0.1863605051664753,75954.0,0.0570029221714614,Leominster,MA,0.037735849018867854,0.0006321112515800784,0.2838747225537288,0.7401562413618568,0.010178603276516438,18.029502356123132
01570,44,41,0,3,3,Webster,MA,0.0681818181818181,0.9318181818181818,42.05206,-71.8485,17674.0,552.2,Worcester,Massachusetts,America/New_York,17671.0,3272.0,0.1851621300435742,70644.0,0.0734295415959253,Webster,MA,0.06818181811363627,0.0009481668773701175,0.2820492906832531,0.7627376684570176,0.008793217661596334,19.23914173247963
01603,84,57,0,27,27,Worcester,MA,0.3214285714285714,0.6785714285714286,42.24373,-71.84429,21034.0,1792.8,Worcester,Massachusetts,America/New_York,20678.0,2494.0,0.12061127768643,58797.0,0.0867264191207853,Worcester,MA,0.3214285711071428,0.008533501896331057,0.1837218296843578,0.8131184908292155,0.0285484980509053,26.012893617257006
01604,40,23,0,17,17,Worcester,MA,0.425,0.575,42.25085,-71.7683,39988.0,2327.5,Worcester,Massachusetts,America/New_York,40724.0,5837.0,0.1433307140752382,68823.0,0.0498855013245925,Worcester,MA,0.42499999957499995,0.005372945638430666,0.21832934320064026,0.7704816945851322,0.037063046192259086,29.178766372923143
