geo_city,geo_state,total_shifts,filled,unfilled,cancelled,unmet,unmet_rate
BLOOMINGBURG,NY,276,241,18,17,35,0.12681159420289856
BOHEMIA,NY,308,244,1,63,64,0.2077922077922078
BOLTON,CT,35,34,0,1,1,0.02857142857142857
BOONTON,NJ,83,72,0,11,11,0.13253012048192772
BRADDOCK,PA,132,131,0,1,1,0.007575757575757576
BRANDYWINE,MD,16,0,0,16,16,1.0
BRANFORD,CT,321,308,0,13,13,0.040498442367601244
BREEZY POINT,NY,129,107,0,22,22,0.17054263565891473
BRENTWOOD,NY,1313,1221,0,92,92,0.07006854531607007
BRIARCLIFF MANN,NY,17,11,0,6,6,0.35294117647058826
BRIARCLIFF MANO,NY,60,56,0,4,4,0.06666666666666667
BRIARCLIFF MANOR,NY,498,440,0,58,58,0.11646586345381527
BRIARWOOD,NY,457,394,1,62,63,0.13785557986870897
BRIDGEPORT,CT,2673,2550,2,121,123,0.04601571268237935
BRIDGETON,MO,16,6,0,10,10,0.625
BRIDGEVILLE,PA,45,45,0,0,0,0.0
BRIORCLIFF MANN,NY,45,45,0,0,0,0.0
BRISTOL,CT,2532,2409,0,123,123,0.0485781990521327
BRISTOL,PA,315,289,0,26,26,0.08253968253968254
BROAD BROOK,CT,37,33,0,4,4,0.10810810810810811
BROKLYN,NY,62,61,0,1,1,0.016129032258064516
BRONX,NY,290863,259942,4057,26864,30921,0.10630778063899499
BRONXVILLE,NY,913,714,15,184,199,0.21796276013143484
BROOKHAVEN,NY,1,0,0,1,1,1.0
BROOKHAVEN,PA,121,112,0,9,9,0.0743801652892562
BROOKLY,NY,76,58,0,18,18,0.23684210526315788
BROOKLYN,CT,147,99,0,48,48,0.32653061224489793
BROOKLYN,NY,498213,459962,1878,36373,38251,0.07677639884948807
BROOKLYN,Ne,46,25,0,21,21,0.45652173913043476
BROOKLYN   APT  10 D,NY,62,62,0,0,0,0.0
BROOKLYN  Apt 4E,NY,42,41,0,1,1,0.023809523809523808
BROOKYN,NY,159,142,0,17,17,0.1069182389937107
BROOOKLYN,NY,62,62,0,0,0,0.0
