service_description,total,unfilled,cancelled,unmet,unmet_rate
T1019U1 - PCA,7382,0,400,400,0.0541858574911948
T1019U1 ACF PCA HRLY,145,0,2,2,0.013793103448275862
T1019U1 ALB,4313,45,778,823,0.190818455831208
T1019U1 ALB MAP,44,0,2,2,0.045454545454545456
T1019U1 BX,52627,732,4369,5101,0.09692743268664374
T1019U1 BX MAP,6814,51,422,473,0.06941590842383329
T1019U1 DUT,1403,25,248,273,0.1945830363506771
T1019U1 DUT MAP,1,0,1,1,1.0
T1019U1 K,49337,49,4044,4093,0.08296005026653425
T1019U1 K MAP,10442,19,152,171,0.016376173146906724
T1019U1 MAP,80,8,5,13,0.1625
T1019U1 MGY,111,0,30,30,0.2702702702702703
T1019U1 NAS,12906,57,1672,1729,0.133968696730203
T1019U1 NAS MAP,87,0,3,3,0.034482758620689655
T1019U1 NYC,53626,107,4484,4591,0.08561145712900459
T1019U1 NYC MAP,2829,16,205,221,0.07811947684694238
T1019U1 ORA,1578,16,336,352,0.22306717363751585
T1019U1 PCA HRLY,74713,192,3228,3420,0.04577516630305302
T1019U1 PCA HRLY NY,1475,8,182,190,0.1288135593220339
T1019U1 QNS,46089,18,3448,3466,0.07520232593460478
T1019U1 QNS MAP,5008,9,152,161,0.03214856230031949
T1019U1 REN,1290,15,307,322,0.2496124031007752
T1019U1 RKL,850,54,183,237,0.2788235294117647
T1019U1 SAR,717,5,112,117,0.16317991631799164
T1019U1 SCH,3253,17,516,533,0.16384875499538887
T1019U1 SI,10120,3,1139,1142,0.11284584980237154
T1019U1 SI MAP,822,0,23,23,0.027980535279805353
T1019U1 SUF,2761,6,375,381,0.13799348062296268
T1019U1 SUF MAP,122,0,1,1,0.00819672131147541
T1019U1 SUL,281,0,23,23,0.08185053380782918
T1019U1 SUL MAP,27,0,3,3,0.1111111111111111
T1019U1 ULS,183,0,47,47,0.2568306010928962
T1019U1 WES,10846,178,1791,1969,0.1815415821501014
T1019U1 WES MAP,124,0,0,0,0.0
T1019U2 ALB,128,0,0,0,0.0
T1019U2 BX,1145,54,40,94,0.08209606986899563
T1019U2 BX MAP,224,0,5,5,0.022321428571428572
T1019U2 K,1764,1,104,105,0.05952380952380952
T1019U2 K MAP,401,0,4,4,0.00997506234413965
T1019U2 NAS,510,0,64,64,0.12549019607843137
T1019U2 NAS MAP,76,0,5,5,0.06578947368421052
T1019U2 NYC,1750,0,72,72,0.04114285714285714
T1019U2 NYC MAP,233,0,2,2,0.008583690987124463
T1019U2 PCA HRLY M,3925,2,143,145,0.03694267515923567
T1019U2 QNS,2389,0,90,90,0.037672666387609875
T1019U2 QNS MAP,372,0,0,0,0.0
T1019U2 RKL,35,0,26,26,0.7428571428571429
T1019U2 SCH,126,0,2,2,0.015873015873015872
T1019U2 SI,759,0,44,44,0.057971014492753624
T1019U2 SUF,93,0,12,12,0.12903225806451613
T1019U2 WES,148,0,28,28,0.1891891891891892
T1019U4 ACF PCA HRLY,39,0,31,31,0.7948717948717948
T1019U4 PCA HRLY,4424,29,445,474,0.10714285714285714
T1019U4 PCA HRLY LI,226,17,48,65,0.28761061946902655
T1019U5 PCA HRLY,584,0,2,2,0.003424657534246575
T1020,19040,106,1300,1406,0.07384453781512605
T1020 - PCA Live-in,213,0,0,0,0.0
T1020 ALB,28,0,26,26,0.9285714285714286
T1020 BX,1208,65,34,99,0.08195364238410596
T1020 BX MAP,203,3,17,20,0.09852216748768473
T1020 K,2665,5,156,161,0.060412757973733584
T1020 K MAP,66,0,0,0,0.0
T1020 Live In,361,0,36,36,0.0997229916897507
T1020 MAP,178,0,22,22,0.12359550561797752
T1020 MLTC,62,0,0,0,0.0
T1020 NAS,625,0,1,1,0.0016
T1020 NAS MAP,27,0,0,0,0.0
T1020 NYC,1674,0,108,108,0.06451612903225806
T1020 Nassau,62,0,0,0,0.0
T1020 ORA,64,0,0,0,0.0
T1020 PCA LI,4432,12,228,240,0.05415162454873646
T1020 PCA Live-In LI,17,0,0,0,0.0
T1020 PCA Live-In NYC,5,5,0,5,1.0
T1020 QNS,2399,0,145,145,0.060441850771154645
T1020 QNS MAP,247,0,1,1,0.004048582995951417
T1020 SAR,2,0,2,2,1.0
T1020 SI,186,0,0,0,0.0
T1020 SUF,319,1,6,7,0.0219435736677116
T1020 TV,82,0,3,3,0.036585365853658534
T1020 ULS,62,0,0,0,0.0
T1020 WES,427,0,31,31,0.07259953161592506
T1020(RATE CODE:2595),1447,18,34,52,0.0359364201796821
T1020:CC,494,0,14,14,0.02834008097165992
T1020:MCD,372,0,33,33,0.08870967741935484
T1020:SHP,283,6,0,6,0.02120141342756184
T1020:TV,99,0,1,1,0.010101010101010102
T1020:U2,310,0,60,60,0.1935483870967742
T1020:U2 PCA LI M,372,0,0,0,0.0
T1020U2 K,5,0,5,5,1.0
T1020U2 NYC,2,0,2,2,1.0
T1020U2 SI,54,0,0,0,0.0
T1020U2 WES,5,0,2,2,0.4
T1020U4 PCA LI,252,0,27,27,0.10714285714285714
T1023 PRI,6,0,1,1,0.16666666666666666
T1030,109,0,1,1,0.009174311926605505
T2003,81,81,0,81,1.0
T2017:U3:U7,82,0,23,23,0.2804878048780488
T2024 - PT STAT CHANGE VISIT,8,0,0,0,0.0
T2024 - SUPRVSRY,58,0,1,1,0.017241379310344827
T2024 RN UAS A/E,911,0,1,1,0.0010976948408342481
T2024- Pt Stat Chng,3,0,0,0,0.0
T2024- Suoervisory,2,0,0,0,0.0
T2024- Suprvsry,23,0,0,0,0.0
T2024-Suprvsry,4,0,0,0,0.0
T2024-UAS Reassessment,1,0,0,0,0.0
TRAVEL DFTA,1,1,0,1,1.0
TT NB,1,0,1,1,1.0
Team Meeting,33,33,0,33,1.0
Test Visit,2,0,0,0,0.0
Training,69,0,12,12,0.17391304347826086
Transitional RA,1,0,0,0,0.0
Travel,62,0,0,0,0.0
Travel Time,50,0,0,0,0.0
Travel Time NB,4,0,4,4,1.0
UC Care Management,56,0,1,1,0.017857142857142856
Unbillable MLTC SOC Assmt,8,0,1,1,0.125
Unpaid Time Off,20,0,20,20,1.0
VA Assessment Sup Visit,3,0,0,0,0.0
VA HMK Home Health Aid,11,0,1,1,0.09090909090909091
VAHHA,115,0,23,23,0.2
VAPC,81,0,0,0,0.0
VAR2,45,0,0,0,0.0
VISIT,45,0,1,1,0.022222222222222223
Vocational Service PVT,48,0,1,1,0.020833333333333332
Vocational Therapy,1179,1,98,99,0.08396946564885496
W1011,2,0,2,2,1.0
W1793,115892,351,7034,7385,0.06372312152693888
WPC,45,0,0,0,0.0
WS Vocational,94,0,2,2,0.02127659574468085
Weekend HHA LI Special(E.H.),17,0,0,0,0.0
hha non billable,65,0,0,0,0.0
hha wes S5125,76,0,17,17,0.2236842105263158
hhali wes S5126,64,0,0,0,0.0
new T1019U1,28,0,22,22,0.7857142857142857
pca,634,17,106,123,0.19400630914826497
pca $34,122,0,10,10,0.08196721311475409
pca 1/4 hr 2595,58,0,6,6,0.10344827586206896
pca 28,200,1,15,16,0.08
pca G0156,863,30,227,257,0.29779837775202783
pca RKL T1019:U1,782,60,117,177,0.22634271099744246
pca T1019:U1,15638,349,2910,3259,0.20840260902928764
pca extra hrs T1019:U1,13,0,0,0,0.0
pca john hancock $30,178,86,3,89,0.5
pca john hancock $35,201,1,81,82,0.4079601990049751
pca john hancock $38,6,0,0,0,0.0
pca lvl 1,96,0,13,13,0.13541666666666666
pca lvl 1 2601,258,17,75,92,0.35658914728682173
pca lvl 1 S5130:U1,92,12,22,34,0.3695652173913043
pca lvl 2,1797,10,248,258,0.14357262103505844
pca lvl 2 2622,2318,57,324,381,0.1643658326143227
pca lvl 2 T1019:U1,2636,46,554,600,0.2276176024279211
pca lvl 2 mutual 2502,20,0,6,6,0.3
pca lvl 2 others T1019:U1,132,2,110,112,0.8484848484848485
pca mutual T1019:U2,386,6,54,60,0.15544041450777202
pca mutual overlap T1019:U2,1,0,1,1,1.0
pcali $468,54,0,3,3,0.05555555555555555
pcali 2632,228,0,17,17,0.07456140350877193
pcali T1020,622,0,25,25,0.04019292604501608
private pay 36,62,0,0,0,0.0
private pay live in 416,62,0,0,0,0.0
tt nb,11,0,11,11,1.0
