zip5,total,filled,unfilled,cancelled,unmet,city,state,lat,lng,unmet_rate,fill_rate
46410,12,12,0,0,0,Merrillville,IN,41.48083,-87.33293,0.0,1.0
46798,11,10,0,1,1,Yoder,IN,40.94256,-85.22113,0.09090909090909091,0.9090909090909091
46803,1,1,0,0,0,Fort Wayne,IN,41.06972,-85.08532,0.0,1.0
46805,7,0,0,7,7,Fort Wayne,IN,41.09918,-85.11762,1.0,0.0
46806,5,1,0,4,4,Fort Wayne,IN,41.04649,-85.09224,0.8,0.2
46807,7,7,0,0,0,Fort Wayne,IN,41.04489,-85.14763,0.0,1.0
46814,6,6,0,0,0,Fort Wayne,IN,41.04616,-85.30805,0.0,1.0
46816,4,4,0,0,0,Fort Wayne,IN,41.00396,-85.04169,0.0,1.0
46825,1,1,0,0,0,Fort Wayne,IN,41.15397,-85.12425,0.0,1.0
47130,7,7,0,0,0,Clarksville,IN,38.33528,-85.69689,0.0,1.0
47240,22,15,0,7,7,Greensburg,IN,39.32394,-85.48028,0.3181818181818182,0.6818181818181818
48038,5,4,0,1,1,Clinton Township,MI,42.6054,-82.94152,0.2,0.8
48044,76,62,6,8,14,Macomb,MI,42.64988,-82.9296,0.18421052631578946,0.8157894736842105
48066,62,43,14,5,19,Roseville,MI,42.50735,-82.93697,0.3064516129032258,0.6935483870967742
48075,21,17,0,4,4,Southfield,MI,42.4618,-83.2299,0.19047619047619047,0.8095238095238095
48080,132,118,3,11,14,Saint Clair Shores,MI,42.46418,-82.90031,0.10606060606060606,0.8939393939393939
48088,69,62,1,6,7,Warren,MI,42.51573,-82.98298,0.10144927536231885,0.8985507246376812
48089,118,112,2,4,6,Warren,MI,42.4702,-82.99549,0.05084745762711865,0.9491525423728814
48092,95,79,3,13,16,Warren,MI,42.51308,-83.05968,0.16842105263157894,0.8315789473684211
48093,26,13,6,7,13,Warren,MI,42.51483,-83.01554,0.5,0.5
48103,233,200,11,22,33,Ann Arbor,MI,42.2581,-83.84333,0.14163090128755365,0.8583690987124464
48104,21,14,1,6,7,Ann Arbor,MI,42.26343,-83.71748,0.3333333333333333,0.6666666666666666
48108,7538,6358,410,770,1180,Ann Arbor,MI,42.22206,-83.7317,0.15654019633855135,0.8434598036614487
48141,63,62,0,1,1,Inkster,MI,42.29349,-83.31483,0.015873015873015872,0.9841269841269841
48152,7,7,0,0,0,Livonia,MI,42.42597,-83.37433,0.0,1.0
48154,13,13,0,0,0,Livonia,MI,42.39737,-83.37315,0.0,1.0
48158,295,257,22,16,38,Manchester,MI,42.15564,-84.03031,0.1288135593220339,0.8711864406779661
48169,5,5,0,0,0,Pinckney,MI,42.46348,-83.94955,0.0,1.0
48312,117,103,3,11,14,Sterling Heights,MI,42.55831,-83.00914,0.11965811965811966,0.8803418803418803
48320,20,12,0,8,8,Sylvan Lake,MI,42.61274,-83.33824,0.4,0.6
48341,45,44,1,0,1,Pontiac,MI,42.6275,-83.29433,0.022222222222222223,0.9777777777777777
48433,85,76,1,8,9,Flushing,MI,43.07632,-83.8661,0.10588235294117647,0.8941176470588236
48843,195,184,2,9,11,Howell,MI,42.56891,-83.92333,0.05641025641025641,0.9435897435897436
49048,17,16,1,0,1,Kalamazoo,MI,42.27202,-85.49893,0.058823529411764705,0.9411764705882353
49083,158,122,20,16,36,Richland,MI,42.3784,-85.45899,0.22784810126582278,0.7721518987341772
49130,12,8,0,4,4,Union,MI,41.78086,-85.85997,0.3333333333333333,0.6666666666666666
49286,2,2,0,0,0,Tecumseh,MI,42.01443,-83.93447,0.0,1.0
49601,5,5,0,0,0,Cadillac,MI,44.2385,-85.5211,0.0,1.0
53005,1,0,0,1,1,Brookfield,WI,43.0625,-88.0992,1.0,0.0
53022,40,40,0,0,0,Germantown,WI,43.23062,-88.11286,0.0,1.0
53027,41,41,0,0,0,Hartford,WI,43.31697,-88.37356,0.0,1.0
53037,1,1,0,0,0,Jackson,WI,43.31255,-88.16108,0.0,1.0
53051,38,34,0,4,4,Menomonee Falls,WI,43.14905,-88.12348,0.10526315789473684,0.8947368421052632
53090,18,18,0,0,0,West Bend,WI,43.45685,-88.17985,0.0,1.0
53092,9,9,0,0,0,Mequon,WI,43.22139,-87.95351,0.0,1.0
53104,1,1,0,0,0,Bristol,WI,42.55731,-88.03416,0.0,1.0
53108,1,1,0,0,0,Caledonia,WI,42.82043,-87.94696,0.0,1.0
53110,11,10,0,1,1,Cudahy,WI,42.94671,-87.86403,0.09090909090909091,0.9090909090909091
53130,1,1,0,0,0,Hales Corners,WI,42.94092,-88.04909,0.0,1.0
53132,7,7,0,0,0,Franklin,WI,42.88589,-88.01063,0.0,1.0
53140,4,4,0,0,0,Kenosha,WI,42.61963,-87.82987,0.0,1.0
53142,1,1,0,0,0,Kenosha,WI,42.54464,-87.93765,0.0,1.0
53143,3,3,0,0,0,Kenosha,WI,42.56109,-87.83038,0.0,1.0
53144,35,35,0,0,0,Kenosha,WI,42.61991,-87.92291,0.0,1.0
53154,3,3,0,0,0,Oak Creek,WI,42.8803,-87.90092,0.0,1.0
53172,120,120,0,0,0,South Milwaukee,WI,42.91197,-87.86266,0.0,1.0
53186,1,1,0,0,0,Waukesha,WI,43.02305,-88.20319,0.0,1.0
53188,2,1,0,1,1,Waukesha,WI,43.02106,-88.29265,0.5,0.5
53202,26,26,0,0,0,Milwaukee,WI,43.04561,-87.89893,0.0,1.0
53204,193,192,1,0,1,Milwaukee,WI,43.01806,-87.92552,0.0051813471502590676,0.9948186528497409
53205,137,133,0,4,4,Milwaukee,WI,43.05359,-87.93363,0.029197080291970802,0.9708029197080292
53206,134,119,0,15,15,Milwaukee,WI,43.07524,-87.93349,0.11194029850746269,0.8880597014925373
